OBJECTID,COSEWICID,SCI_NAME,COM_NAME_E,COM_NAME_F,TAXON_E,TAXON_F,SAR_STAT_E,SAR_STAT_F,SCHEDULE_E,SCHEDULE_F,SOURCE_E,SOURCE_F,FCLASS,IMAGE_SRC,Reviewed_YN,Reviewer,ReviewDateDMY,Historical_YN,EC_SOI_YN,DataSource,MB_YN,Shape_STArea__,Shape_STLength__,Shape_Length,Shape_Area,COSEWICID_NAME
99,688,Bidens amplissima,Vancouver Island Beggarticks,Bident conné de l’île de Vancouver,Vascular Plants,Plantes vasculaires,Special Concern,Préoccupante,Schedule 1,Annexe 1,Unknown,Inconnu,Bidens_amplissima, ,N,,,N,Y,Environment Canada,,0.255645332,4.99149088,4.99149088,0.255645332,COSEWICID_688
100,689,Bartramia halleriana,Haller's Apple Moss,Bartramie de Haller,Mosses,Mousses,Threatened,Menacée,Schedule 1,Annexe 1,Unknown,Inconnu,Bartramia_halleriana, ,N,,,N,Y,Environment Canada,,0.03121985,1.135149229,1.135149229,0.03121985,COSEWICID_689
101,690,Fissidens pauperculus,Poor Pocket Moss,Fissident appauvri,Mosses,Mousses,Endangered,En voie de disparition,Schedule 1,Annexe 1,Unknown,Inconnu,Fissidens_pauperculus, ,N,,,N,Y,Environment Canada,,0.001553738,0.144503111,0.144503111,0.001553738,COSEWICID_690
102,697,Ambystoma tigrinum,Tiger Salamander (Southern Mountain population),Salamandre tigrée (Population des montagnes du Sud),Amphibians,Amphibiens,Endangered,En voie de disparition,Schedule 1,Annexe 1,Unknown,Inconnu,Ambystoma_tigrinum, ,N,,,N,Y,Environment Canada,,0.245114239,3.028216564,3.028216564,0.245114239,COSEWICID_697
103,710,Actinemys marmorata,Pacific Pond Turtle,Tortue de l'Ouest,Reptiles,Reptiles,Extirpated,Disparue du pays,Schedule 1,Annexe 1,Digitized,Numérisé,Actinemys_marmorata,Acti_marm.JPG,N,,,N,Y,LAP_SAR_O2_20130328,,0.028866507,1.182209802,1.182209802,0.028866507,COSEWICID_710
104,713,Plestiodon skiltonianus,Western Skink,Scinque de l'Ouest,Reptiles,Reptiles,Special Concern,Préoccupante,Schedule 1,Annexe 1,Digitized,Numérisé,Plestiodon_skiltonianus,eume_ski.JPG,N,,,N,Y,SARR,,1.270873394,9.034013099,9.034013099,1.270873394,COSEWICID_713
105,715,Tegeticula yuccasella,Yucca Moth,Teigne du yucca,Arthropods,Arthropodes,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Tegeticula_yuccasella,tegeyuc.JPG,N,,,N,Y,SARR,,0.088126847,1.665654975,1.665654975,0.088126847,COSEWICID_715
106,719,Megascops kennicottii kennicottii,Western Screech-owl kennicottii subspecies,Petit-duc des montagnes de la sous-espèce kennicottii,Birds,Oiseaux,Threatened,Menacée,Schedule 1,Annexe 1,Digitized,Numérisé,Megascops_kennicottii_kennicottii,megaken.JPG,N,,,N,Y,SARR,N,13.68119294,138.6349875,138.6349875,13.68119294,COSEWICID_719
107,720,Megascops kennicottii macfarlanei,Western Screech-owl macfarlanei subspecies,Petit-duc des montagnes de la sous-espèce macfarlanei,Birds,Oiseaux,Threatened,Menacée,Schedule 1,Annexe 1,Digitized,Numérisé,Megascops_kennicottii_macfarlanei,megaken_mac.JPG,N,,,N,Y,SARR,N,7.446592628,13.21698004,13.21698004,7.446592628,COSEWICID_720
108,721,Pituophis catenifer catenifer,Pacific Gophersnake,Couleuvre à nez mince du Pacifique,Reptiles,Reptiles,Extirpated,Disparue du pays,Schedule 1,Annexe 1,Digitized,Numérisé,Pituophis_catenifer_catenifer,Pitu_cate_cate.JPG,N,,,N,Y,LAP_SAR_O2_20130328,,0.926961569,6.907864359,6.907864359,0.926961569,COSEWICID_721
109,722,Pituophis catenifer deserticola,Great Basin Gophersnake,Couleuvre à nez mince du Grand Bassin,Reptiles,Reptiles,Threatened,Menacée,Schedule 1,Annexe 1,Digitized,Numérisé,Pituophis_catenifer_deserticola,pitucat.JPG,N,,,N,Y,SARR,,2.317893656,20.91387497,20.91387497,2.317893656,COSEWICID_722
110,732,Cryptomastix devia,Puget Oregonian,Escargot du Puget,Molluscs,Mollusques,Extirpated,Disparue du pays,Schedule 1,Annexe 1,Digitized,Numérisé,Cryptomastix_devia,Cryp_devi.JPG,N,,,N,Y,LAP_SAR_O2_20130328,,0.38076332,5.479326943,5.479326943,0.38076332,COSEWICID_732
111,735,Scouleria marginata,Margined Streamside Moss,Scoulérie à feuilles marginées,Mosses,Mousses,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Scouleria_marginata,scoumar.JPG,N,,,N,Y,SARR,,0.009401433,0.470343539,0.470343539,0.009401433,COSEWICID_735
112,741,Fabronia pusilla,Silver Hair Moss,Fabronie naine,Mosses,Mousses,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Fabronia_pusilla,fabrpus.JPG,N,,,N,Y,SARR,,0.015474384,0.485957001,0.485957001,0.015474384,COSEWICID_741
113,745,Allogona townsendiana,Oregon Forestsnail,Escargot–forestier de Townsend,Molluscs,Mollusques,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Allogona_townsendiana,allotow.JPG,N,,,N,Y,SARR,,0.174715394,3.492957701,3.492957701,0.174715394,COSEWICID_745
114,746,Lupinus rivularis,Streambank Lupine,Lupin des ruisseaux,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Lupinus_rivularis,lupiriv.JPG,N,,,N,Y,SARR,,0.047726822,2.303407682,2.303407682,0.047726822,COSEWICID_746
