COSEWIC common name,COSEWIC population,cosewic_match,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Provancher's Fleabane,,Provancher's Fleabane,Data Deficient,2023-05-05,Erigeron philadelphicus var. provancheri,Provancher's Fleabane,,,,,,"Ontario, Quebec",Vascular Plants,,
Puget Oregonian,,Puget Oregonian,Extirpated,2013-05-03,Cryptomastix devia,Puget Oregonian,,Extirpated,2005-01-12,Schedule 1,2005-01-12,British Columbia,Molluscs,,Added to list
Pugnose Minnow,,Pugnose Minnow,Threatened,2012-05-04,Opsopoeodus emiliae,Pugnose Minnow,,Threatened,2019-08-08,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),,Uplisted: Special Concern to threatened
Pugnose Shiner,,Pugnose Shiner,Threatened,2013-05-03,Notropis anogenus,Pugnose Shiner,,Threatened,2019-08-08,Schedule 1,2005-01-12,Ontario,Fishes (freshwater),,Downlisted: Endangered to threatened
Pumpkin Ash,,Pumpkin Ash,Endangered,2022-05-11,Fraxinus profunda,Pumpkin Ash,,No Status,,No schedule,,Ontario,Vascular Plants,Addition,Pending
Purple Sanicle,,Purple Sanicle,Threatened,2001-05-01,Sanicula bipinnatifida,Purple Sanicle,,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Purple Spikerush,,Purple Spikerush,Non-active,2008-04-25,Eleocharis atropurpurea,Purple Spikerush,,,,No schedule,,British Columbia,Vascular Plants,,
Purple Twayblade,,Purple Twayblade,Threatened,2010-11-26,Liparis liliifolia,Purple Twayblade,,Threatened,2017-06-02,Schedule 1,2003-06-05,"Ontario, Quebec",Vascular Plants,,Downlisted: Endangered to threatened
Purple Wartyback,,Purple Wartyback,Threatened,2021-05-05,Cyclonaias tuberculata,Purple Wartyback,,No Status,,No schedule,,Ontario,Molluscs,Addition,Pending
Puvirnituq Mountain Draba,,Puvirnituq Mountain Draba,Special Concern,2019-11-29,Draba puvirnituqii,Puvirnituq Mountain Draba,,No Status,,No schedule,,Quebec,Vascular Plants,Addition,Pending
Pygmy Pocket Moss,,Pygmy Pocket Moss,Not at Risk,2016-04-29,Fissidens exilis,Pygmy Pocket Moss,,No Status,2019-02-25,No schedule,2006-08-15,"British Columbia, Nova Scotia, Ontario, Quebec",Mosses,,Delisted: Special Concern to not at risk
