"OBJECTID","COSEWICID","SCI_NAME","COM_NAME_E","COM_NAME_F","TAXON_E","TAXON_F","SAR_STAT_E","SAR_STAT_F","SCHEDULE_E","SCHEDULE_F","SOURCE_E","SOURCE_F","FCLASS","IMAGE_SRC","Reviewed_YN","Reviewer","ReviewDateDMY","Historical_YN","EC_SOI_YN","DataSource","Shape_STArea__","Shape_STLength__","Shape_Length","Shape_Area"
"254","229","Lachnanthes caroliniana","Redroot","Lachnanthe de Caroline","Vascular Plants","Plantes vasculaires","Special Concern","Préoccupante","Schedule 1","Annexe 1","Unknown","Inconnu","Lachnanthes_caroliniana","","N","","","N","Y","Environment Canada","0.0358606611780488","0.694046014608278","0.694046014608278","0.0358606611767187"
"255","232","Clethra alnifolia","Sweet Pepperbush","Clèthre à feuilles d'aulne","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Unknown","Inconnu","Clethra_alnifolia","","N","","","N","Y","Environment Canada","0.0128354611529176","0.679715674366395","0.679715674366395","0.0128354611511667"
"256","234","Polemonium vanbruntiae","Van Brunt's Jacob's–ladder","Polémoine de Van Brunt","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Polemonium_vanbruntiae","polevan.JPG","N","","","N","Y","SARR","0.178814560005549","2.26933784253503","2.26933784253503","0.17881456000669"
"257","238","Eurybia divaricata","White Wood Aster","Aster à rameaux étalés","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Eurybia_divaricata","eurydiv.JPG","N","","","N","Y","SARR","0.295082927145359","5.12990839723833","5.12990839723832","0.295082927144954"
"258","240","Frasera caroliniensis","American Columbo","Frasère de Caroline","Vascular Plants","Plantes vasculaires","Endangered","En voie de disparition","Schedule 1","Annexe 1","Digitized","Numérisé","Frasera_caroliniensis","fras_car_1.JPG","N","","","N","Y","COSEWIC","0.110789587183717","3.40634044364729","3.40634044364729","0.110789587183892"
"259","241","Bartonia paniculata ssp. paniculata","Branched Bartonia","Bartonie paniculée","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Bartonia_paniculata_paniculata","bartpan.JPG","N","","","N","Y","SARR","0.194618848356413","2.97871405079929","2.97871405079929","0.194618848356847"
"260","245","Rosa setigera","Climbing Prairie Rose","Rosier sétigère","Vascular Plants","Plantes vasculaires","Special Concern","Préoccupante","Schedule 1","Annexe 1","Digitized","Numérisé","Rosa_setigera","rosaset.JPG","N","","","N","Y","SARR","0.249221385588953","5.64664213096976","5.64664213096976","0.249221385586627"
"261","246","Liatris spicata","Dense Blazing Star","Liatris à épi","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Unknown","Inconnu","Liatris_spicata","","N","","","N","Y","Environment Canada","0.19306625905574","5.81708486757794","5.81708486757794","0.193066259051801"
"262","247","Celtis tenuifolia","Dwarf Hackberry","Micocoulier rabougri","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Celtis_tenuifolia","celtten.JPG","N","","","N","Y","SARR","0.0732448321132324","2.40418771704508","2.40418771704508","0.0732448321128423"
"263","248","Platanthera leucophaea","Eastern Prairie Fringed–orchid","Platanthère blanchâtre de l'Est","Vascular Plants","Plantes vasculaires","Endangered","En voie de disparition","Schedule 1","Annexe 1","Digitized","Numérisé","Platanthera_leucophaea","platleu.JPG","N","","","N","Y","SARR","0.440492175275949","7.93228139151101","7.93228139151101","0.440492175276308"
"264","249","Enemion biternatum","False Rue–anemone","Isopyre à feuilles biternées","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Enemion_biternatum","enembit.JPG","N","","","N","Y","SARR","0.0701869330157479","1.8829760819906","1.8829760819906","0.0701869330145535"
"265","250","Trichophorum planifolium","Bashful Bulrush","Trichophore à feuilles plates","Vascular Plants","Plantes vasculaires","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Trichophorum_planifolium","","N","","","N","Y","Environment Canada","0.0219027314631148","0.772299821512631","0.772299821512632","0.0219027314658071"
"266","252","Symphyotrichum laurentianum","Gulf of St. Lawrence Aster","Aster du golfe Saint–Laurent","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Symphyotrichum_laurentianum","symplau.JPG","N","","","N","Y","SARR","0.154712231841586","5.67582050472313","5.67582050472312","0.154712231838807"
"267","254","Potamogeton hillii","Hill's Pondweed","Potamot de Hill","Vascular Plants","Plantes vasculaires","Special Concern","Préoccupante","Schedule 1","Annexe 1","Digitized","Numérisé","Potamogeton_hillii","potahil.JPG","N","","","N","Y","SARR","0.631196614710689","7.24320378364355","7.24320378364355","0.631196614710472"
"268","255","Ptelea trifoliata","Common Hoptree","Ptéléa trifolié","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Ptelea_trifoliata","pteltri.JPG","N","","","N","Y","SARR","0.16236124706802","5.27259734273415","5.27259734273415","0.162361247068227"
"269","256","Arnoglossum plantagineum","Tuberous Indian–plantain","Arnoglosse plantain","Vascular Plants","Plantes vasculaires","Special Concern","Préoccupante","Schedule 1","Annexe 1","Digitized","Numérisé","Arnoglossum_plantagineum","arnopla.JPG","N","","","N","Y","SARR","0.149031393833639","4.19071091369563","4.19071091369563","0.149031393834441"
"270","258","Lilaeopsis chinensis","Eastern Lilaeopsis","Liléopsis de l'Est","Vascular Plants","Plantes vasculaires","Special Concern","Préoccupante","Schedule 1","Annexe 1","Digitized","Numérisé","Lilaeopsis_chinensis","lilachi.JPG","N","","","N","Y","SARR","0.0702036587274506","1.96606376169526","1.96606376169526","0.0702036587267249"
"271","260","Juncus caesariensis","New Jersey Rush","Jonc du New Jersey","Vascular Plants","Plantes vasculaires","Special Concern","Préoccupante","Schedule 1","Annexe 1","Digitized","Numérisé","Juncus_caesariensis","junccae.JPG","N","","","N","Y","SARR","0.056032113311403","1.58864644805566","1.58864644805566","0.0560321133119961"
"272","266","Hibiscus moscheutos","Swamp Rose–mallow","Ketmie des marais","Vascular Plants","Plantes vasculaires","Special Concern","Préoccupante","Schedule 1","Annexe 1","Digitized","Numérisé","Hibiscus_moscheutos","hibimos.JPG","N","","","N","Y","SARR","0.329886983814276","8.39980471132302","8.39980471132302","0.329886983819301"
"273","267","Gentianopsis virgata ssp. victorinii","Victorin's Gentian","Gentiane de Victorin","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Gentianopsis_virgata_victorinii","gentvir.JPG","N","","","N","Y","SARR","0.381313568306723","8.67058542926853","8.67058542926853","0.381313568308797"
"274","268","Cicuta maculata var. victorinii","Victorin's Water–hemlock","Cicutaire de Victorin","Vascular Plants","Plantes vasculaires","Special Concern","Préoccupante","Schedule 1","Annexe 1","Digitized","Numérisé","Cicuta_maculata_victorinii","cicumac.JPG","N","","","N","Y","SARR","0.447541076290918","9.64675710391348","9.64675710391348","0.447541076292649"
"275","270","Camassia scilloides","Wild Hyacinth","Camassie faux–scille","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Camassia_scilloides","camasci.JPG","N","","","N","Y","SARR","0.0417110499129194","1.30683338790527","1.30683338790527","0.0417110499132282"
"276","271","Coluber constrictor foxii","Blue Racer","Couleuvre agile bleue","Reptiles","Reptiles","Endangered","En voie de disparition","Schedule 1","Annexe 1","Digitized","Numérisé","Coluber_constrictor_foxii","colucon.JPG","N","","","N","Y","SARR","0.00444770907029124","0.264792376657144","0.264792376657144","0.00444770907032726"
